country,feature,importance
Burkina Faso,cassava_area,0.012737400039743881
Burkina Faso,cassava_yield,0.014089785899112054
Burkina Faso,cassava_volatility,0.005196739990557035
Burkina Faso,maize_production,0.0014200345427035426
Burkina Faso,maize_area,0.02131870443498915
Burkina Faso,maize_yield,0.00033595917957940456
Burkina Faso,maize_volatility,0.0017030466162592938
Burkina Faso,rice_production,0.023257240996647586
Burkina Faso,rice_area,0.03867592104484354
Burkina Faso,rice_yield,0.000449039786713966
Burkina Faso,rice_volatility,0.0007519633374173129
Burkina Faso,sorghum_production,0.00044467584110334383
Burkina Faso,sorghum_area,0.0021205547767122615
Burkina Faso,sorghum_yield,0.0007286465237800931
Burkina Faso,sorghum_volatility,0.0009577965251719807
Burkina Faso,wheat_production,0.0
Burkina Faso,wheat_area,0.0
Burkina Faso,wheat_yield,0.0
Burkina Faso,wheat_volatility,0.0
Burkina Faso,yams_production,0.0019686336571849003
Burkina Faso,yams_area,0.0018736525765504447
Burkina Faso,yams_yield,0.007086957225196254
Burkina Faso,yams_volatility,0.0011502746867657694
Burkina Faso,gdp_per_capita_lag1,0.02740807183763128
Burkina Faso,water_access_lag1,0.07729989630551791
Burkina Faso,sanitation_access_lag1,0.032556835228616444
Burkina Faso,political_stability_lag1,0.05938666633659447
Burkina Faso,temperature_lag1,0.00017182229950833634
Burkina Faso,precipitation_lag1,0.00024264099020630678
Burkina Faso,cassava_production_lag1,0.04028906063773722
Burkina Faso,cassava_area_lag1,0.029144531323103358
Burkina Faso,cassava_yield_lag1,0.021793366103298708
Burkina Faso,cassava_volatility_lag1,0.00033542363603206887
Burkina Faso,maize_production_lag1,0.04522224744023563
Burkina Faso,maize_area_lag1,0.011074622591504244
Burkina Faso,maize_yield_lag1,0.000445738625229691
Burkina Faso,maize_volatility_lag1,0.009633469858162371
Burkina Faso,rice_production_lag1,0.02661803619000196
Burkina Faso,rice_area_lag1,0.023000003181264272
Burkina Faso,rice_yield_lag1,0.0005116651779747725
Burkina Faso,rice_volatility_lag1,0.0010287201902977525
Burkina Faso,sorghum_production_lag1,0.0007744900913387263
Burkina Faso,sorghum_area_lag1,0.0004293086648770305
Burkina Faso,sorghum_yield_lag1,0.0009440971310968928
Burkina Faso,sorghum_volatility_lag1,0.0024080606037712865
Burkina Faso,wheat_production_lag1,0.0
Burkina Faso,wheat_area_lag1,0.0
Burkina Faso,wheat_yield_lag1,0.0
Burkina Faso,wheat_volatility_lag1,0.0
Burkina Faso,yams_production_lag1,0.0027709460706732366
Burkina Faso,yams_area_lag1,0.00038092278498740327
Burkina Faso,yams_yield_lag1,0.0010454675720288813
Burkina Faso,yams_volatility_lag1,0.0013066569051664594
Burkina Faso,gdp_per_capita_lag2,0.020309165881408027
Burkina Faso,water_access_lag2,0.042911044657583504
Burkina Faso,sanitation_access_lag2,0.017739778099103223
Burkina Faso,political_stability_lag2,0.051631852000565956
Burkina Faso,temperature_lag2,0.0014082103238041456
Burkina Faso,precipitation_lag2,0.0005322983917091467
Burkina Faso,cassava_production_lag2,0.015179279692636046
Burkina Faso,cassava_area_lag2,0.013944338748996738
Burkina Faso,cassava_yield_lag2,0.05107894135564785
Burkina Faso,cassava_volatility_lag2,0.002202174061146028
Burkina Faso,maize_production_lag2,0.0348816200202037
Burkina Faso,maize_area_lag2,0.015385388447273196
Burkina Faso,maize_yield_lag2,0.0005104611459359493
Burkina Faso,maize_volatility_lag2,0.001294850901176459
Burkina Faso,rice_production_lag2,0.024281181769873483
Burkina Faso,rice_area_lag2,0.02485141744910688
Burkina Faso,rice_yield_lag2,0.0006240821353850099
Burkina Faso,rice_volatility_lag2,0.005037320683298406
Burkina Faso,sorghum_production_lag2,0.00017441741437551083
Burkina Faso,sorghum_area_lag2,0.0010242067315080609
Burkina Faso,sorghum_yield_lag2,0.0005107496190039833
Burkina Faso,sorghum_volatility_lag2,0.0016792994402266275
Burkina Faso,wheat_production_lag2,0.0
Burkina Faso,wheat_area_lag2,0.0
Burkina Faso,wheat_yield_lag2,0.0
Burkina Faso,wheat_volatility_lag2,0.0
Burkina Faso,yams_production_lag2,0.0015391719002438842
Burkina Faso,yams_area_lag2,0.0010445834915664798
Burkina Faso,yams_yield_lag2,0.0003652404365081083
Burkina Faso,yams_volatility_lag2,0.0011144537484328908
Burundi,temperature,0.0008727011534151438
Burundi,precipitation,0.0004344902573185233
Burundi,gdp_per_capita,0.0008094642753206202
Burundi,water_access,0.037573042662528235
Burundi,sanitation_access,0.0
Burundi,political_stability,0.00037344613101855927
Burundi,ccri_score,0.0
Burundi,cassava_production,0.009125002404743378
Burundi,cassava_area,0.023955111057814046
Burundi,cassava_yield,0.0023697714659111913
Burundi,cassava_volatility,0.005012519091921831
Burundi,maize_production,0.03764259123930224
Burundi,maize_area,0.0007102137453202004
Burundi,maize_yield,0.0031298181786148026
Burundi,maize_volatility,0.013699033753636437
Burundi,rice_production,0.0034337340399287373
Burundi,rice_area,0.010040039994411866
Burundi,rice_yield,0.04240875217985932
Burundi,rice_volatility,0.023909105591180674
Burundi,sorghum_production,0.014009668856546238
Burundi,sorghum_area,0.0005902319992882473
Burundi,sorghum_yield,0.021454226941395368
Burundi,sorghum_volatility,0.0007965839689420505
Burundi,wheat_production,0.0011347756838750625
Burundi,wheat_area,0.00033648238388164016
Burundi,wheat_yield,0.017136742029725476
Burundi,wheat_volatility,0.03865393529890416
Burundi,yams_production,0.014233928058564223
Burundi,yams_area,0.058698018212614854
Burundi,yams_yield,0.02609126286769594
Burundi,yams_volatility,0.027059074172619893
Burundi,gdp_per_capita_lag1,0.0005495487117191903
Burundi,water_access_lag1,0.01356038737070468
Burundi,sanitation_access_lag1,0.0
Burundi,political_stability_lag1,0.004940015686187301
Burundi,temperature_lag1,0.0016153978162730457
Burundi,precipitation_lag1,0.0001600625405719461
